consecutivo;genero;fecha_nac;carrera;PAPA;estrato;computador_mesa;portatil;internet;smartphone;origen_covid_19;estad_gov;habito_1;habito_2;habito_3;habito_4;habito_5;habito_6;habito_7;habito_8;habito_9;habito_10;habito_11;habito_12;habito_13;habito_14;habito_15;habito_16;habito_17;aleatorio
42;Masculino;25/05/1999;Estadistica;3.8;3;propio.;prestado.;familiar;propio.;NA;No;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
43;Masculino;18/05/1998;Ingenieria de Sistemas E Informatica;3.8;4;propio.;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
44;Masculino;1/01/2000;Estadistica;3.9;3;No;propio.;familiar;propio.;NA;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;314.159.265.359
45;Masculino;7/10/2003;Estadistica;3.8;2;alquilado.;No;alquilado;propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Estudia solo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
46;Masculino;17/09/1992;Ingenieria de Sistemas E Informatica;3.6;3;propio.;propio.;propio.;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
47;Masculino;5/09/1996;Ingenieria de Sistemas E Informatica;3.8;3;No;propio.;propio.;propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
48;Masculino;15/10/2001;Ingenieria de Sistemas E Informatica;3.4;2;propio.;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;4
49;Masculino;12/08/2020;Ingenieria de Sistemas E Informatica;3.5;4;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;Si;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;7
50;Masculino;30/03/1998;Ingenieria Industrial;4.1;1;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capitulo del libro texto.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;7
51;Masculino;11/03/2002;Estadistica;4.0;3;propio.;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;5
